frase,label
Passe a cobrança de R$ 2138 para o cliente,Cobrança
"Lançar cobrança para João no valor de R$ 1443,73",Cobrança
"Cobrar R$ 2090,42 à vista amanhã",Cobrança
Cobra o pagamento de R$ 4181 em 5 parcelas,Cobrança
Cobra o pagamento de R$ 2257 em 3 parcelas,Cobrança
"Cobra o valor de R$ 3533,54 em 4x",Cobrança
"Cobrar a quantia de R$ 2425,74 referente ao serviço",Cobrança
Cobrar R$ 2020 à vista amanhã,Cobrança
Lançar cobrança para João no valor de R$ 2211,Cobrança
"Passe a cobrança de R$ 924,53 para o cliente",Cobrança
"Cobra o valor de R$ 1254,22 em 11x",Cobrança
Cobrar R$ 2918 à vista amanhã,Cobrança
Cobrar taxa de R$ 2887 pela entrega,Cobrança
"Cobra R$ 1731,19 pela manutenção",Cobrança
Cobra o pagamento de R$ 2425 em 2 parcelas,Cobrança
"Cobra o pagamento de R$ 2666,61 em 10 parcelas",Cobrança
Passe a cobrança de R$ 969 para o cliente,Cobrança
"Efetuar o pagamento da fatura de R$ 4600,19",Pagamento
Transferir R$ 575 para a conta poupança,Pagamento
"Pagar a conta de luz no valor de R$ 328,49",Pagamento
"Transferir R$ 350,79 para a conta poupança",Pagamento
Transferir R$ 2644 para a conta poupança,Pagamento
"Transferir R$ 3774,22 para Maria",Pagamento
"Transferir R$ 866,84 para Maria",Pagamento
Fazer o pagamento do aluguel de R$ 323,Pagamento
Realizar pagamento via PIX no valor de R$ 4394,Pagamento
"Efetuar o pagamento da assinatura de R$ 1836,68",Pagamento
Pagar a conta de luz no valor de R$ 2217,Pagamento
"Transferir R$ 3676,27 para a conta poupança",Pagamento
Efetuar o pagamento da assinatura de R$ 955,Pagamento
"Agendar pagamento de R$ 1279,55 para amanhã",Pagamento
"Transferir R$ 3713,91 para Maria",Pagamento
"Realizar transferência de R$ 3183,21 para Pedro",Pagamento
Quitar a fatura pendente de R$ 4388,Pagamento
Fazer o pagamento do aluguel de R$ 2470,Pagamento
Pagar boleto no valor de R$ 3948,Pagamento
Efetuar o pagamento da assinatura de R$ 1770,Pagamento
"Realizar pagamento via PIX no valor de R$ 4235,41",Pagamento
Pagar boleto no valor de R$ 2608,Pagamento
"Pagar a conta de luz no valor de R$ 2399,45",Pagamento
Transferir R$ 1346 para Maria,Pagamento
"Transferir R$ 4906,45 para a conta poupança",Pagamento
"Agendar pagamento de R$ 179,96 para amanhã",Pagamento
"Transferir R$ 2305,74 para a conta poupança",Pagamento
Efetuar o pagamento da fatura de R$ 4411,Pagamento
"Transferir R$ 3422,21 para a conta poupança",Pagamento
Efetuar o pagamento da assinatura de R$ 1593,Pagamento
Efetuar o pagamento da fatura de R$ 3325,Pagamento
"Pagar a conta de luz no valor de R$ 3102,45",Pagamento
Efetuar o pagamento da assinatura de R$ 2314,Pagamento
"Pagar boleto no valor de R$ 3321,69",Pagamento
Enviar pagamento no valor de R$ 4289,Pagamento
"Transferir R$ 4448,69 para a conta poupança",Pagamento
"Agendar pagamento de R$ 551,82 para amanhã",Pagamento
Fazer o pagamento do aluguel de R$ 3756,Pagamento
"Transferir R$ 4471,16 para Maria",Pagamento
"Agendar pagamento de R$ 1156,17 para amanhã",Pagamento
Pagar a conta de luz no valor de R$ 4373,Pagamento
"Agendar pagamento de R$ 2822,96 para amanhã",Pagamento
Enviar pagamento no valor de R$ 4866,Pagamento
Realizar transferência de R$ 4066 para Pedro,Pagamento
"Transferir R$ 3049,78 para a conta poupança",Pagamento
"Realizar pagamento via PIX no valor de R$ 3352,81",Pagamento
"Transferir R$ 2719,68 para Maria",Pagamento
"Pagar a conta de luz no valor de R$ 2291,80",Pagamento
Transferir R$ 4798 para a conta poupança,Pagamento
"Transferir R$ 329,16 para a conta poupança",Pagamento
Realizar transferência de R$ 3348 para Pedro,Pagamento
Efetuar o pagamento da assinatura de R$ 3911,Pagamento
Realizar transferência de R$ 33 para Pedro,Pagamento
"Efetuar o pagamento da assinatura de R$ 4460,53",Pagamento
"Efetuar o pagamento da fatura de R$ 1303,75",Pagamento
"Fazer o pagamento do aluguel de R$ 2181,35",Pagamento
"Pagar boleto no valor de R$ 3201,13",Pagamento
"Transferir R$ 3658,48 para a conta poupança",Pagamento
"Pagar a conta de luz no valor de R$ 3717,76",Pagamento
Agendar pagamento de R$ 4834 para amanhã,Pagamento
"Quitar a fatura pendente de R$ 1109,44",Pagamento
Enviar pagamento no valor de R$ 3548,Pagamento
"Agendar pagamento de R$ 3791,58 para amanhã",Pagamento
"Fazer o pagamento do aluguel de R$ 4980,31",Pagamento
Efetuar o pagamento da assinatura de R$ 4279,Pagamento
Fazer o pagamento do aluguel de R$ 2619,Pagamento
Realizar transferência de R$ 3266 para Pedro,Pagamento
Pagar boleto no valor de R$ 4629,Pagamento
"Efetuar o pagamento da assinatura de R$ 1179,33",Pagamento
Pagar a conta de luz no valor de R$ 3181,Pagamento
Realizar pagamento via PIX no valor de R$ 3331,Pagamento
Quitar a fatura pendente de R$ 1386,Pagamento
"Efetuar o pagamento da fatura de R$ 1457,35",Pagamento
Efetuar o pagamento da assinatura de R$ 1209,Pagamento
Realizar transferência de R$ 3698 para Pedro,Pagamento
Fazer o pagamento do aluguel de R$ 3530,Pagamento
"Quitar a fatura pendente de R$ 1078,94",Pagamento
Realizar pagamento via PIX no valor de R$ 3887,Pagamento
Efetuar o pagamento da assinatura de R$ 3780,Pagamento
Realizar transferência de R$ 4809 para Pedro,Pagamento
"Efetuar o pagamento da assinatura de R$ 3319,55",Pagamento
Transferir R$ 4822 para a conta poupança,Pagamento
Transferir R$ 325 para Maria,Pagamento
Fazer o pagamento do aluguel de R$ 617,Pagamento
Realizar pagamento via PIX no valor de R$ 1591,Pagamento
Enviar pagamento no valor de R$ 922,Pagamento
Pagar boleto no valor de R$ 2717,Pagamento
"Transferir R$ 4522,46 para Maria",Pagamento
Agendar pagamento de R$ 4590 para amanhã,Pagamento
"Efetuar o pagamento da fatura de R$ 1223,69",Pagamento
"Agendar pagamento de R$ 2703,29 para amanhã",Pagamento
"Realizar pagamento via PIX no valor de R$ 1210,56",Pagamento
Transferir R$ 4549 para a conta poupança,Pagamento
Realizar pagamento via PIX no valor de R$ 2207,Pagamento
"Quitar a fatura pendente de R$ 4369,25",Pagamento
"Realizar pagamento via PIX no valor de R$ 1475,13",Pagamento
Quitar a fatura pendente de R$ 1473,Pagamento
Transferir R$ 788 para Maria,Pagamento
"Transferir R$ 1357,36 para a conta poupança",Pagamento
"Efetuar o pagamento da assinatura de R$ 2682,71",Pagamento
Transferir R$ 632 para a conta poupança,Pagamento
"Transferir R$ 1218,58 para a conta poupança",Pagamento
Agendar pagamento de R$ 4081 para amanhã,Pagamento
"Efetuar o pagamento da fatura de R$ 4031,87",Pagamento
"Transferir R$ 2292,99 para a conta poupança",Pagamento
Realizar transferência de R$ 2446 para Pedro,Pagamento
"Efetuar o pagamento da assinatura de R$ 4100,40",Pagamento
Efetuar o pagamento da assinatura de R$ 1821,Pagamento
Realizar pagamento via PIX no valor de R$ 3643,Pagamento
Efetuar o pagamento da fatura de R$ 3105,Pagamento
"Efetuar o pagamento da fatura de R$ 2179,93",Pagamento
Quitar a fatura pendente de R$ 1741,Pagamento
"Pagar a conta de luz no valor de R$ 1604,87",Pagamento
Pagar a conta de luz no valor de R$ 4291,Pagamento
"Efetuar o pagamento da fatura de R$ 2848,46",Pagamento
Realizar pagamento via PIX no valor de R$ 4040,Pagamento
Transferir R$ 4384 para Maria,Pagamento
"Realizar transferência de R$ 1684,35 para Pedro",Pagamento
"Quitar a fatura pendente de R$ 3699,98",Pagamento
Pagar boleto no valor de R$ 1572,Pagamento
Qual o saldo que tenho hoje?,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Consultar saldo atualizado,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Ver saldo disponível no aplicativo,Consulta Saldo
Consultar saldo atualizado,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Qual é o meu saldo?,Consulta Saldo
Ver saldo disponível no aplicativo,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Ver saldo disponível no aplicativo,Consulta Saldo
Consultar saldo atualizado,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Consulta de saldo na conta salário,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Verificar saldo em conta conjunta,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Mostrar saldo da poupança,Consulta Saldo
Consultar saldo atualizado,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Mostrar saldo bancário,Consulta Saldo
Verificar saldo em conta conjunta,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Quero saber meu saldo atual,Consulta Saldo
Quero saber meu saldo atual,Consulta Saldo
Qual é o meu saldo?,Consulta Saldo
Verificar saldo em conta conjunta,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Consultar saldo atualizado,Consulta Saldo
Quero saber meu saldo atual,Consulta Saldo
Verificar saldo em conta conjunta,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Mostrar saldo bancário,Consulta Saldo
Mostrar saldo bancário,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Verificar saldo em conta conjunta,Consulta Saldo
Mostrar saldo da poupança,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Mostrar saldo da poupança,Consulta Saldo
Quero saber meu saldo atual,Consulta Saldo
Quero saber meu saldo atual,Consulta Saldo
Qual é o meu saldo?,Consulta Saldo
Consulta de saldo na conta salário,Consulta Saldo
Quero saber meu saldo atual,Consulta Saldo
Quero saber meu saldo atual,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Ver saldo disponível no aplicativo,Consulta Saldo
Mostrar saldo bancário,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Consulta de saldo na conta salário,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Mostrar saldo da poupança,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Mostrar saldo bancário,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Consulta de saldo na conta salário,Consulta Saldo
Ver saldo disponível no aplicativo,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Qual é o meu saldo?,Consulta Saldo
Mostrar saldo bancário,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Verificar saldo em conta conjunta,Consulta Saldo
Ver saldo disponível no aplicativo,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Consulta de saldo na conta salário,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Consultar saldo atualizado,Consulta Saldo
Qual é o meu saldo?,Consulta Saldo
Mostrar saldo bancário,Consulta Saldo
Consultar saldo atualizado,Consulta Saldo
Mostrar saldo da poupança,Consulta Saldo
Mostrar saldo bancário,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Ver saldo disponível no aplicativo,Consulta Saldo
Quero saber meu saldo atual,Consulta Saldo
Consultar saldo atualizado,Consulta Saldo
Qual é o meu saldo?,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Verificar saldo em conta conjunta,Consulta Saldo
Mostrar saldo da poupança,Consulta Saldo
Ver saldo disponível no aplicativo,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Consulta de saldo na conta salário,Consulta Saldo
Ver saldo disponível no aplicativo,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Mostrar saldo da poupança,Consulta Saldo
Verificar saldo da conta corrente,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Qual o saldo que tenho hoje?,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Consultar quanto tenho no banco,Consulta Saldo
Verificar saldo em conta conjunta,Consulta Saldo
Quero saber meu saldo atual,Consulta Saldo
Consultar saldo disponível,Consulta Saldo
Qual é o meu saldo?,Consulta Saldo
Agendar revisão do carro,Outro
Pedir orçamento para reforma,Outro
Agendar ligação para amanhã,Outro
Solicitar orçamento de compra,Outro
Anotar lembrete para reunião,Outro
Agendar reunião com o cliente,Outro
Marcar consulta médica,Outro
Enviar email de boas-vindas,Outro
Pedir orçamento para reforma,Outro
Agendar ligação para amanhã,Outro
Agendar reunião com o cliente,Outro
Agendar ligação para amanhã,Outro
Anotar lembrete para reunião,Outro
Agendar reunião com o cliente,Outro
Organizar documentos do escritório,Outro
Agendar revisão do carro,Outro
Solicitar orçamento de compra,Outro
Agendar ligação para amanhã,Outro
Solicitar orçamento de compra,Outro
Atualizar dados cadastrais do cliente,Outro
Pedir orçamento para reforma,Outro
Marcar consulta médica,Outro
Enviar proposta comercial,Outro
Organizar documentos do escritório,Outro
Organizar documentos do escritório,Outro
Confirmar presença no evento,Outro
Anotar lembrete para reunião,Outro
Organizar documentos do escritório,Outro
Solicitar orçamento de compra,Outro
Agendar reunião com o cliente,Outro
Agendar ligação para amanhã,Outro
Atualizar dados cadastrais do cliente,Outro
Marcar consulta médica,Outro
Enviar proposta comercial,Outro
Agendar revisão do carro,Outro
Enviar email de boas-vindas,Outro
Enviar proposta comercial,Outro
Anotar lembrete para reunião,Outro
Marcar consulta médica,Outro
Enviar email de boas-vindas,Outro
Marcar consulta médica,Outro
Pedir orçamento para reforma,Outro
Marcar consulta médica,Outro
Marcar consulta médica,Outro
Enviar proposta comercial,Outro
Confirmar presença no evento,Outro
Organizar documentos do escritório,Outro
Enviar proposta comercial,Outro
Solicitar orçamento de compra,Outro
Enviar email de boas-vindas,Outro
Atualizar dados cadastrais do cliente,Outro
Organizar documentos do escritório,Outro
Organizar documentos do escritório,Outro
Solicitar orçamento de compra,Outro
Organizar documentos do escritório,Outro
Agendar ligação para amanhã,Outro
Pedir orçamento para reforma,Outro
Agendar ligação para amanhã,Outro
Enviar email de boas-vindas,Outro
Agendar reunião com o cliente,Outro
Agendar ligação para amanhã,Outro
Agendar revisão do carro,Outro
Atualizar dados cadastrais do cliente,Outro
Pedir orçamento para reforma,Outro
Solicitar orçamento de compra,Outro
Agendar reunião com o cliente,Outro
Marcar consulta médica,Outro
Enviar proposta comercial,Outro
Solicitar orçamento de compra,Outro
Marcar consulta médica,Outro
Marcar consulta médica,Outro
Atualizar dados cadastrais do cliente,Outro
Solicitar orçamento de compra,Outro
Agendar ligação para amanhã,Outro
Anotar lembrete para reunião,Outro
Agendar reunião com o cliente,Outro
Agendar ligação para amanhã,Outro
Pedir orçamento para reforma,Outro
Enviar proposta comercial,Outro
Marcar consulta médica,Outro
Agendar ligação para amanhã,Outro
Agendar reunião com o cliente,Outro
Marcar consulta médica,Outro
Agendar reunião com o cliente,Outro
Enviar proposta comercial,Outro
Confirmar presença no evento,Outro
Atualizar dados cadastrais do cliente,Outro
Agendar ligação para amanhã,Outro
Agendar revisão do carro,Outro
Agendar reunião com o cliente,Outro
Agendar reunião com o cliente,Outro
Marcar consulta médica,Outro
Confirmar presença no evento,Outro
Agendar reunião com o cliente,Outro
Atualizar dados cadastrais do cliente,Outro
Agendar ligação para amanhã,Outro
Organizar documentos do escritório,Outro
Confirmar presença no evento,Outro
Marcar consulta médica,Outro
Solicitar orçamento de compra,Outro
Enviar email de boas-vindas,Outro
Confirmar presença no evento,Outro
Agendar revisão do carro,Outro
Enviar proposta comercial,Outro
Solicitar orçamento de compra,Outro
Agendar ligação para amanhã,Outro
Marcar consulta médica,Outro
Enviar proposta comercial,Outro
Organizar documentos do escritório,Outro
Anotar lembrete para reunião,Outro
Atualizar dados cadastrais do cliente,Outro
Atualizar dados cadastrais do cliente,Outro
Enviar email de boas-vindas,Outro
Marcar consulta médica,Outro
Agendar ligação para amanhã,Outro
Agendar revisão do carro,Outro
Solicitar orçamento de compra,Outro
Agendar reunião com o cliente,Outro
Anotar lembrete para reunião,Outro
Agendar ligação para amanhã,Outro
